date,x,y,label
2025-09-01,19.97716060,-34.84741664,1
2025-09-01,20.00015747,-34.84741664,1
2025-09-01,19.93116686,-34.82441977,1
2025-09-01,19.95416373,-34.82441977,1
2025-09-01,19.97716060,-34.82441977,1
2025-09-01,20.00015747,-34.82441977,1
2025-09-01,20.02315434,-34.82441977,1
2025-09-01,20.04615121,-34.82441977,1
2025-09-01,19.60921066,-34.80142290,1
2025-09-01,19.86217624,-34.80142290,1
2025-09-01,19.88517311,-34.80142290,1
2025-09-01,19.90816999,-34.80142290,1
2025-09-01,19.93116686,-34.80142290,1
2025-09-01,19.95416373,-34.80142290,1
2025-09-01,19.97716060,-34.80142290,1
2025-09-01,20.00015747,-34.80142290,1
2025-09-01,20.02315434,-34.80142290,1
2025-09-01,20.04615121,-34.80142290,1
2025-09-01,20.06914809,-34.80142290,1
2025-09-01,19.58621379,-34.77842603,1
2025-09-01,19.60921066,-34.77842603,1
2025-09-01,19.63220753,-34.77842603,1
2025-09-01,19.65520440,-34.77842603,1
2025-09-01,19.67820127,-34.77842603,1
2025-09-01,19.70119814,-34.77842603,1
2025-09-01,19.72419502,-34.77842603,1
2025-09-01,19.74719189,-34.77842603,1
2025-09-01,19.77018876,-34.77842603,1
2025-09-01,19.79318563,-34.77842603,1
2025-09-01,19.81618250,-34.77842603,1
2025-09-01,19.83917937,-34.77842603,1
2025-09-01,19.86217624,-34.77842603,1
2025-09-01,19.88517311,-34.77842603,1
2025-09-01,19.90816999,-34.77842603,1
2025-09-01,19.93116686,-34.77842603,1
2025-09-01,19.95416373,-34.77842603,1
2025-09-01,19.97716060,-34.77842603,1
2025-09-01,20.00015747,-34.77842603,1
2025-09-01,20.02315434,-34.77842603,1
2025-09-01,20.04615121,-34.77842603,1
2025-09-01,20.06914809,-34.77842603,1
2025-09-01,20.09214496,-34.77842603,1
2025-09-01,20.11514183,-34.77842603,1
2025-09-01,19.54022005,-34.75542916,1
2025-09-01,19.56321692,-34.75542916,1
2025-09-01,19.58621379,-34.75542916,1
2025-09-01,19.60921066,-34.75542916,1
2025-09-01,19.63220753,-34.75542916,1
2025-09-01,19.65520440,-34.75542916,1
2025-09-01,19.67820127,-34.75542916,1
2025-09-01,19.70119814,-34.75542916,1
2025-09-01,19.72419502,-34.75542916,1
2025-09-01,19.74719189,-34.75542916,1
2025-09-01,19.77018876,-34.75542916,1
2025-09-01,19.79318563,-34.75542916,1
2025-09-01,19.81618250,-34.75542916,1
2025-09-01,19.83917937,-34.75542916,1
2025-09-01,19.86217624,-34.75542916,1
2025-09-01,19.88517311,-34.75542916,1
2025-09-01,19.90816999,-34.75542916,1
